BA Code,Timestamp (Hour Ending),Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh),Other Generation (MWh),Natural gas Generation (MWh),Coal Generation (MWh),Nuclear Generation (MWh)
ERCO,1/31/2021 12 a.m. CST,11626,0,49,8,8415,8841,5113
ERCO,1/31/2021 1 a.m. CST,11247,0,72,8,7468,9186,5113
ERCO,1/31/2021 2 a.m. CST,12625,0,52,5,6421,8623,5113
ERCO,1/31/2021 3 a.m. CST,13780,0,49,6,6025,7773,5114
ERCO,1/31/2021 4 a.m. CST,14094,0,49,9,6101,7479,5113
ERCO,1/31/2021 5 a.m. CST,15272,0,49,7,5907,6608,5113
ERCO,1/31/2021 6 a.m. CST,15633,0,50,9,6268,6933,5113
ERCO,1/31/2021 7 a.m. CST,15772,0,73,11,6640,7806,5114
ERCO,1/31/2021 8 a.m. CST,16262,29,74,10,7029,8412,5114
ERCO,1/31/2021 9 a.m. CST,15436,1568,74,23,7773,8145,5113
ERCO,1/31/2021 10 a.m. CST,15023,4043,74,13,7370,7495,5113
ERCO,1/31/2021 11 a.m. CST,16614,4423,109,17,6767,6296,5113
ERCO,1/31/2021 12 p.m. CST,15997,4390,94,15,7191,6182,5113
ERCO,1/31/2021 1 p.m. CST,14609,4284,50,12,7632,6593,5113
ERCO,1/31/2021 2 p.m. CST,13596,4324,50,9,7849,6632,5113
ERCO,1/31/2021 3 p.m. CST,13069,4609,50,10,7868,6225,5112
ERCO,1/31/2021 4 p.m. CST,12295,4772,50,12,8481,5975,5112
ERCO,1/31/2021 5 p.m. CST,11135,4300,49,9,10431,5842,5112
ERCO,1/31/2021 6 p.m. CST,8957,1697,50,15,13969,7845,5112
ERCO,1/31/2021 7 p.m. CST,7296,32,50,42,16980,10347,5113
ERCO,1/31/2021 8 p.m. CST,7981,0,90,17,16896,10220,5113
ERCO,1/31/2021 9 p.m. CST,8094,0,90,9,16725,10305,5114
ERCO,1/31/2021 10 p.m. CST,7210,0,95,7,16766,10495,5114
ERCO,1/31/2021 11 p.m. CST,6706,0,68,6,16217,10154,5115
ERCO,2/1/2021 12 a.m. CST,6907,0,50,8,14844,9898,5114
ERCO,2/1/2021 1 a.m. CST,6909,0,71,7,14836,9058,5115
ERCO,2/1/2021 2 a.m. CST,6663,0,48,8,15030,8927,5116
ERCO,2/1/2021 3 a.m. CST,6420,0,47,6,15450,8995,5115
ERCO,2/1/2021 4 a.m. CST,6478,0,47,6,16074,9032,5115
ERCO,2/1/2021 5 a.m. CST,6515,0,47,4,17304,9294,5116
ERCO,2/1/2021 6 a.m. CST,6130,0,47,5,20325,9529,5116
ERCO,2/1/2021 7 a.m. CST,5529,0,72,7,24588,10054,5116
ERCO,2/1/2021 8 a.m. CST,4992,48,72,7,26716,10405,5116
ERCO,2/1/2021 9 a.m. CST,4334,1825,72,13,25269,10345,5117
ERCO,2/1/2021 10 a.m. CST,4119,4342,71,13,21901,9902,5117
ERCO,2/1/2021 11 a.m. CST,3576,4679,106,12,20965,9502,5117
ERCO,2/1/2021 12 p.m. CST,3374,4584,88,11,20388,8914,5118
ERCO,2/1/2021 1 p.m. CST,2978,4447,55,11,19346,9014,5119
ERCO,2/1/2021 2 p.m. CST,3141,4508,47,10,18422,8704,5129
ERCO,2/1/2021 3 p.m. CST,3459,4488,47,18,17743,8279,5128
ERCO,2/1/2021 4 p.m. CST,3937,4323,47,12,17205,7948,5129
ERCO,2/1/2021 5 p.m. CST,4030,3766,47,13,17554,8032,5128
ERCO,2/1/2021 6 p.m. CST,4261,1561,47,22,19299,9007,5129
ERCO,2/1/2021 7 p.m. CST,4995,34,47,33,21438,10004,5128
ERCO,2/1/2021 8 p.m. CST,6385,0,47,12,20668,10162,5127
ERCO,2/1/2021 9 p.m. CST,8656,0,47,9,18767,9786,5128
ERCO,2/1/2021 10 p.m. CST,10206,0,47,10,16970,9450,5129
ERCO,2/1/2021 11 p.m. CST,12261,0,47,9,14654,8242,5124
ERCO,2/2/2021 12 a.m. CST,13761,0,47,9,12847,6996,5116
ERCO,2/2/2021 1 a.m. CST,13911,0,71,12,12117,6542,5117
ERCO,2/2/2021 2 a.m. CST,13092,0,49,11,12042,6964,5117
ERCO,2/2/2021 3 a.m. CST,13785,0,47,10,11787,6571,5117
ERCO,2/2/2021 4 a.m. CST,14173,0,47,9,12145,6223,5116
ERCO,2/2/2021 5 a.m. CST,14487,0,47,11,12791,6592,5116
ERCO,2/2/2021 6 a.m. CST,14243,0,47,11,14798,7575,5117
ERCO,2/2/2021 7 a.m. CST,14575,0,72,11,17059,8876,5117
ERCO,2/2/2021 8 a.m. CST,15318,21,72,12,17613,9606,5117
ERCO,2/2/2021 9 a.m. CST,14889,1050,71,29,16765,9158,5117
ERCO,2/2/2021 10 a.m. CST,12604,2701,104,10,15675,8813,5117
ERCO,2/2/2021 11 a.m. CST,12999,3320,104,4,13402,8263,5117
ERCO,2/2/2021 12 p.m. CST,13167,3931,87,12,12406,6893,5116
ERCO,2/2/2021 1 p.m. CST,12228,4061,55,15,12114,6546,5117
ERCO,2/2/2021 2 p.m. CST,10908,4178,47,15,11724,7170,5116
ERCO,2/2/2021 3 p.m. CST,9312,4046,47,9,11748,7948,5115
ERCO,2/2/2021 4 p.m. CST,7777,4255,47,10,12184,8412,5114
ERCO,2/2/2021 5 p.m. CST,6453,3289,47,12,13761,9219,5114
ERCO,2/2/2021 6 p.m. CST,6225,1283,47,11,15209,9916,5114
ERCO,2/2/2021 7 p.m. CST,8527,23,47,10,16260,9794,5114
ERCO,2/2/2021 8 p.m. CST,12695,0,90,8,14155,8895,5114
ERCO,2/2/2021 9 p.m. CST,15252,0,119,9,11861,8489,5115
ERCO,2/2/2021 10 p.m. CST,16416,0,93,12,11081,7250,5114
ERCO,2/2/2021 11 p.m. CST,16509,0,67,22,9187,7370,5115
ERCO,2/3/2021 12 a.m. CST,16484,0,47,20,7989,6944,5115
ERCO,2/3/2021 1 a.m. CST,16008,0,48,11,7802,6659,5115
ERCO,2/3/2021 2 a.m. CST,15232,0,48,8,7445,7273,5116
ERCO,2/3/2021 3 a.m. CST,14227,0,48,8,7887,7850,5116
ERCO,2/3/2021 4 a.m. CST,13719,0,48,11,8489,8369,5117
ERCO,2/3/2021 5 a.m. CST,13232,0,48,9,9158,9363,5117
ERCO,2/3/2021 6 a.m. CST,12277,0,48,10,11416,10140,5118
ERCO,2/3/2021 7 a.m. CST,12358,0,48,5,14821,9939,5119
ERCO,2/3/2021 8 a.m. CST,12788,42,48,8,15920,10058,5119
ERCO,2/3/2021 9 a.m. CST,12421,1624,48,24,14572,9921,5118
ERCO,2/3/2021 10 a.m. CST,9785,3935,48,15,12921,10234,5118
ERCO,2/3/2021 11 a.m. CST,8962,4335,80,11,12028,10115,5118
ERCO,2/3/2021 12 p.m. CST,9195,4262,87,13,11304,9813,5123
ERCO,2/3/2021 1 p.m. CST,9416,4099,55,11,10427,9693,5122
ERCO,2/3/2021 2 p.m. CST,10966,4008,47,14,9231,8995,5117
ERCO,2/3/2021 3 p.m. CST,12989,4095,47,10,8219,7761,5115
ERCO,2/3/2021 4 p.m. CST,15090,4071,72,16,7628,6281,5115
ERCO,2/3/2021 5 p.m. CST,16803,3178,72,15,7645,5729,5115
ERCO,2/3/2021 6 p.m. CST,17426,1108,72,11,8379,6845,5114
ERCO,2/3/2021 7 p.m. CST,19253,37,72,21,8398,7473,5114
ERCO,2/3/2021 8 p.m. CST,21610,0,72,12,6516,7352,5114
ERCO,2/3/2021 9 p.m. CST,22415,0,72,11,5390,7008,5114
ERCO,2/3/2021 10 p.m. CST,22025,0,47,7,5113,6258,5113
ERCO,2/3/2021 11 p.m. CST,21238,0,47,8,4943,5072,5113
ERCO,2/4/2021 12 a.m. CST,19695,0,47,8,4892,4457,5114
ERCO,2/4/2021 1 a.m. CST,18825,0,47,9,4871,4101,5115
ERCO,2/4/2021 2 a.m. CST,18252,0,47,8,4780,3920,5116
ERCO,2/4/2021 3 a.m. CST,17782,0,47,7,4758,3876,5117
ERCO,2/4/2021 4 a.m. CST,17610,0,47,6,4771,3873,5116
ERCO,2/4/2021 5 a.m. CST,18078,0,47,9,4802,3879,5115
ERCO,2/4/2021 6 a.m. CST,19227,0,47,11,5052,4173,5115
ERCO,2/4/2021 7 a.m. CST,19205,0,47,15,6049,6122,5116
ERCO,2/4/2021 8 a.m. CST,18771,21,47,21,6409,7595,5116
ERCO,2/4/2021 9 a.m. CST,18058,933,47,19,6747,7418,5117
ERCO,2/4/2021 10 a.m. CST,19068,2094,80,34,6491,6195,5116
ERCO,2/4/2021 11 a.m. CST,19519,1980,80,14,6522,6272,5115
ERCO,2/4/2021 12 p.m. CST,18859,2631,88,15,6570,6502,5114
ERCO,2/4/2021 1 p.m. CST,17263,3734,88,15,7008,6744,5113
ERCO,2/4/2021 2 p.m. CST,14972,3958,56,12,7875,8072,5112
ERCO,2/4/2021 3 p.m. CST,12078,3934,48,12,8825,9572,5112
ERCO,2/4/2021 4 p.m. CST,10056,4055,70,13,10597,9929,5112
ERCO,2/4/2021 5 p.m. CST,8064,3125,73,17,13094,10328,5113
ERCO,2/4/2021 6 p.m. CST,7188,1483,73,20,15457,10308,5113
ERCO,2/4/2021 7 p.m. CST,7597,45,72,28,17650,10219,5111
ERCO,2/4/2021 8 p.m. CST,9039,0,116,6,16318,10629,5112
ERCO,2/4/2021 9 p.m. CST,10253,0,143,6,14627,10681,5111
ERCO,2/4/2021 10 p.m. CST,11045,0,97,6,13252,9904,5112
ERCO,2/4/2021 11 p.m. CST,11307,0,63,7,11954,9034,5112
ERCO,2/5/2021 12 a.m. CST,11491,0,47,6,11264,7676,5113
ERCO,2/5/2021 1 a.m. CST,11285,0,48,9,11029,7164,5113
ERCO,2/5/2021 2 a.m. CST,10170,0,48,8,10935,7455,5113
ERCO,2/5/2021 3 a.m. CST,8760,0,48,7,11751,7950,5113
ERCO,2/5/2021 4 a.m. CST,7754,0,48,8,12303,8638,5112
ERCO,2/5/2021 5 a.m. CST,7545,0,48,9,13250,9083,5113
ERCO,2/5/2021 6 a.m. CST,7293,0,48,9,15243,9675,5114
ERCO,2/5/2021 7 a.m. CST,6983,0,48,12,18566,10222,5115
ERCO,2/5/2021 8 a.m. CST,6645,26,48,13,20375,10870,5114
ERCO,2/5/2021 9 a.m. CST,5593,1680,47,13,20165,10909,5116
ERCO,2/5/2021 10 a.m. CST,5194,4116,47,22,18888,10524,5116
ERCO,2/5/2021 11 a.m. CST,6425,4419,80,11,17784,9969,5115
ERCO,2/5/2021 12 p.m. CST,6314,4415,88,7,17166,10016,5115
ERCO,2/5/2021 1 p.m. CST,5446,4336,88,8,17073,10152,5116
ERCO,2/5/2021 2 p.m. CST,4670,4299,56,5,16715,10113,5116
ERCO,2/5/2021 3 p.m. CST,3974,4339,49,18,16449,10075,5116
ERCO,2/5/2021 4 p.m. CST,3473,4430,73,7,16306,10074,5116
ERCO,2/5/2021 5 p.m. CST,3438,4089,73,8,16642,10043,5117
ERCO,2/5/2021 6 p.m. CST,3775,1857,72,18,18479,10748,5117
ERCO,2/5/2021 7 p.m. CST,5635,58,75,26,19830,10964,5117
ERCO,2/5/2021 8 p.m. CST,9775,0,117,22,16984,10151,5116
ERCO,2/5/2021 9 p.m. CST,13363,0,103,7,14375,8981,5117
ERCO,2/5/2021 10 p.m. CST,15841,0,67,10,11834,8583,5117
ERCO,2/5/2021 11 p.m. CST,16523,0,50,13,9641,8807,5117
ERCO,2/6/2021 12 a.m. CST,16343,0,49,11,8389,8604,5117
ERCO,2/6/2021 1 a.m. CST,15640,0,50,8,8453,7989,5117
ERCO,2/6/2021 2 a.m. CST,15626,0,50,8,8002,7643,5128
ERCO,2/6/2021 3 a.m. CST,15697,0,51,8,7997,7102,5129
ERCO,2/6/2021 4 a.m. CST,14896,0,51,7,8345,7596,5125
ERCO,2/6/2021 5 a.m. CST,14280,0,50,8,8558,8302,5108
ERCO,2/6/2021 6 a.m. CST,13140,0,51,8,8979,9795,5108
ERCO,2/6/2021 7 a.m. CST,12049,0,51,10,10428,10773,5108
ERCO,2/6/2021 8 a.m. CST,12396,30,50,11,11178,11044,5109
ERCO,2/6/2021 9 a.m. CST,12769,1696,50,20,10767,10777,5109
ERCO,2/6/2021 10 a.m. CST,13164,3905,51,28,9193,10756,5109
ERCO,2/6/2021 11 a.m. CST,14486,3591,83,13,8265,10693,5109
ERCO,2/6/2021 12 p.m. CST,15501,2888,92,13,7874,9931,5109
ERCO,2/6/2021 1 p.m. CST,16077,3066,91,7,7271,8501,5108
ERCO,2/6/2021 2 p.m. CST,16629,3419,57,15,6972,6558,5107
ERCO,2/6/2021 3 p.m. CST,16131,3876,50,17,6841,5727,5107
ERCO,2/6/2021 4 p.m. CST,14864,4246,75,15,7312,5526,5106
ERCO,2/6/2021 5 p.m. CST,12183,4260,75,10,8988,6386,5105
ERCO,2/6/2021 6 p.m. CST,8384,1952,75,25,12103,9497,5105
ERCO,2/6/2021 7 p.m. CST,5449,70,74,34,16479,10855,5106
ERCO,2/6/2021 8 p.m. CST,6882,0,116,15,15745,11084,5106
ERCO,2/6/2021 9 p.m. CST,8465,0,102,12,14138,11198,5106
ERCO,2/6/2021 10 p.m. CST,8763,0,95,6,13675,11218,5106
ERCO,2/6/2021 11 p.m. CST,9858,0,67,12,11626,11442,5107
ERCO,2/7/2021 12 a.m. CST,11054,0,48,12,9542,11524,5107
ERCO,2/7/2021 1 a.m. CST,13236,0,49,11,7686,10664,5108
ERCO,2/7/2021 2 a.m. CST,14562,0,49,11,6720,10074,5108
ERCO,2/7/2021 3 a.m. CST,15169,0,49,9,6695,9958,5107
ERCO,2/7/2021 4 a.m. CST,16477,0,49,8,6578,9509,5108
ERCO,2/7/2021 5 a.m. CST,16788,0,49,10,6563,9748,5108
ERCO,2/7/2021 6 a.m. CST,16595,0,49,8,7120,10476,5108
ERCO,2/7/2021 7 a.m. CST,16152,0,49,10,8675,10512,5109
ERCO,2/7/2021 8 a.m. CST,15417,53,50,12,9787,11446,5110
ERCO,2/7/2021 9 a.m. CST,14274,1894,50,19,9861,11381,5108
ERCO,2/7/2021 10 a.m. CST,13821,3849,50,28,9188,11000,5109
ERCO,2/7/2021 11 a.m. CST,15385,3836,84,13,8241,9964,5108
ERCO,2/7/2021 12 p.m. CST,15501,3989,92,10,7656,8919,5109
ERCO,2/7/2021 1 p.m. CST,14957,4181,91,10,7405,7953,5107
ERCO,2/7/2021 2 p.m. CST,14091,4439,57,14,7491,7370,5107
ERCO,2/7/2021 3 p.m. CST,13399,4589,50,15,7353,7203,5107
ERCO,2/7/2021 4 p.m. CST,13130,4580,75,10,7331,7137,5105
ERCO,2/7/2021 5 p.m. CST,13774,3825,76,11,7685,6982,5104
ERCO,2/7/2021 6 p.m. CST,14972,1562,75,20,8055,8224,5105
ERCO,2/7/2021 7 p.m. CST,17459,53,75,17,7860,8667,5105
ERCO,2/7/2021 8 p.m. CST,20284,0,117,16,7282,7112,5105
ERCO,2/7/2021 9 p.m. CST,21707,0,102,13,6152,6904,5105
ERCO,2/7/2021 10 p.m. CST,22305,0,68,13,6036,6397,5104
ERCO,2/7/2021 11 p.m. CST,22150,0,49,10,5653,5812,5106
ERCO,2/8/2021 12 a.m. CST,21077,0,50,9,5439,5247,5106
ERCO,2/8/2021 1 a.m. CST,20192,0,50,11,5373,4841,5105
ERCO,2/8/2021 2 a.m. CST,19630,0,50,8,5348,4840,5106
ERCO,2/8/2021 3 a.m. CST,19274,0,50,7,5402,4974,5106
ERCO,2/8/2021 4 a.m. CST,18393,0,49,8,5808,5719,5106
ERCO,2/8/2021 5 a.m. CST,17391,0,49,7,6746,6560,5107
ERCO,2/8/2021 6 a.m. CST,16223,0,49,11,8629,7575,5107
ERCO,2/8/2021 7 a.m. CST,14497,0,49,9,11304,9566,5107
ERCO,2/8/2021 8 a.m. CST,13021,50,49,10,12558,11362,5108
ERCO,2/8/2021 9 a.m. CST,10492,1107,49,23,14030,11619,5108
ERCO,2/8/2021 10 a.m. CST,7950,2673,49,28,14789,11693,5108
ERCO,2/8/2021 11 a.m. CST,7748,3272,83,10,14480,11442,5106
ERCO,2/8/2021 12 p.m. CST,7016,3930,91,10,14252,11370,5105
ERCO,2/8/2021 1 p.m. CST,5981,4001,90,15,14605,11387,5105
ERCO,2/8/2021 2 p.m. CST,4846,3988,57,16,15303,11407,5104
ERCO,2/8/2021 3 p.m. CST,4147,4245,49,17,15197,11254,5103
ERCO,2/8/2021 4 p.m. CST,3862,4304,72,10,15332,10808,5102
ERCO,2/8/2021 5 p.m. CST,4386,4055,74,5,15619,10467,5102
ERCO,2/8/2021 6 p.m. CST,4817,2007,74,14,17267,10956,5103
ERCO,2/8/2021 7 p.m. CST,6368,81,75,43,18964,11178,5103
ERCO,2/8/2021 8 p.m. CST,8673,0,118,12,16965,11447,5102
ERCO,2/8/2021 9 p.m. CST,9432,0,146,13,15791,11463,5102
ERCO,2/8/2021 10 p.m. CST,8749,0,96,11,15473,11402,5101
ERCO,2/8/2021 11 p.m. CST,7997,0,68,13,14337,11408,5101
ERCO,2/9/2021 12 a.m. CST,7056,0,49,10,13636,11207,5101
ERCO,2/9/2021 1 a.m. CST,5931,0,48,12,14003,10763,5101
ERCO,2/9/2021 2 a.m. CST,5517,0,48,11,14088,10673,5101
ERCO,2/9/2021 3 a.m. CST,5145,0,47,11,14375,10757,5102
ERCO,2/9/2021 4 a.m. CST,4320,0,48,13,15564,10812,5101
ERCO,2/9/2021 5 a.m. CST,3863,0,47,15,16481,11359,5101
ERCO,2/9/2021 6 a.m. CST,3061,0,48,23,19191,11626,5101
ERCO,2/9/2021 7 a.m. CST,2286,0,49,27,23214,11449,5101
ERCO,2/9/2021 8 a.m. CST,1489,21,49,21,25851,11526,5102
ERCO,2/9/2021 9 a.m. CST,1061,1091,49,30,26397,11652,5101
ERCO,2/9/2021 10 a.m. CST,783,2564,49,35,26152,11614,5101
ERCO,2/9/2021 11 a.m. CST,735,3069,84,16,26452,11350,5101
ERCO,2/9/2021 12 p.m. CST,815,3327,88,17,26771,10912,5100
